Comment,
"My group mates are fine, but between the 4 of us, there is only the newly available lecture time when we are all free. Before that, there were no times when all 4 of us were free to work, which made making efficient progress very difficult. ",
"Its just the teams responsibility and own personal issues, I personally feel like I have to babysit everyone and make sure stuff is getting done on time when I&#39;m not the team leader anyway.",
"I am lucky to be part of such a great team. Everyone is enthusiastic and committed to delivering a successful project. So far, I have no complaints with any of my teammates. ",
"Our team has not run into any issues within the team to my knowledge. So far, we seem to be somewhat civil and on the same page with most matters. ",
I think we all work well together and everyone plays a part.,
"So far, we have worked well as a group. There have only been minor issues with regards to communication and punctuality to group meetings. Aside from that, when we are working together we work well and respect each other&#39;s opinions.",
CATME only works for availability times not necessarily the different and diverse skills brought into one group,
"I&#39;m a little worried about the communication among my team. So far it&#39;s going all right, but the past, going on, 2 weeks has been pretty vague excluding talking in person in the lectures.",
"My teammates Deev and Josh are active participants in the project and I enjoy working with them. They stay on task and are present, sometimes early to team meetings. Matthew is a stray ball on these parts however. Sometimes he will go to meetings early, sometimes he will be late. He has missed the first checkpoint and latest lecture so far, but has been present to team meetings. He generally isn&#39;t on task when our team meetings are going on and we are all working together. He does participate on occasions by collaborating with Josh on how the design will work and pan out, but does not contribute much to the work going in that my other two teammates show. It is early in to the project work and I hope that he will be able to show more effort as the semester progresses.",
I think that my team is great. We have no problem staying on task and doing everything in a timely fashion.,
I am readily enjoying my team and we work well together.,
"I feel like I do all that I can to help my group and I do the best of my abilities with each thing I am tasked with in this group. I do not have the understanding or passion for the material that other members of my group have, but I feel that I have taken initiative to do the things that I do know how to do, so that they are not hindered by my knowledge or lack thereof. ",
"My team is a great team and highly motivated. While we did have a hiccup in communication due to a broken phone, we still did our best to work together and gain a good understanding of what our project is and how to best approach it.",
NA,
None.,
"At the beginning of the project David Rund was taking on a lot of work that wasn&#39;t asked of him, and redoing work others had already done his own way. For checkpoint 1 he actually completely ditched all the calculations done by myself (after personally babysitting me through the calculations) and we ended up getting set back because of it. However, we as a team discussed with him, and he totally stopped and is now sharing the workload evenly, and allowing others to give their input. It looked a little grim at first, but we worked it out as a team. Jezra and Drew are both awesome teammates and I enjoy working with them, as well as with David now that he has relinquished the reins a little.",
"Some team members contribute more than others, but all do what is asked of them.  Design is a creative process wherein progress is made in fits and starts rather than linearly with time spent.  I therefore don&#39;t think its sensible to criticize other members for only doing what&#39;s asked of them, especially given that we&#39;re all freshmen and don&#39;t know what we&#39;re doing.",
I have no comments I like my team.,
Kaylee is doing amazing and doing a great job at being lead.,
"I was not satisfied to be working on this team based on the last few weeks, because the last major assignment we did, the work was not fairly distributed. However, for the next upcoming assignments, the work has been fairly divided up among all team members.
",
"I feel like we make an effective team, but sometimes get side tracked in over thinking design ideas. Overall a great group.",
I feel good about this team.,
I enjoy this team. ,
Thanks,
Every team member is strong in separate fields. Working effectively together is tough sometimes but I try my best to compensate.,
"Did you know that Splenda&#39;s &quot;Zero-Calorie&quot; Sweeteners are shown to contain as much glucose as regular sugar? They accomplish this by exploiting a loophole in naming, where if they make each serving contain fewer than 5 calories, then it can be marketed as 0.",
"Hello, my team and I are doing good as far as completing work. But as far as communication and teamwork we do need work in that area. I would prefer not to say names but a team member is causing difficulty because he/she feels they could do the project on their own even though it is a team effort. He/she does not know how to take ideas into consideration until someone they feel is superior to them suggest something. This is the only concern i have and we are working hard to resolve the situation and to work together. Thank you. ",
We all seem to have our own areas of interest of which we do our best.,
Everyone on the team shows a desire to successfully complete the project. I don&rsquo;t think we will have any problems if we all work together.,
None,
"I am very quiet and haven&#39;t been the best at communicating with my team, but I will try to improve going forward. I will also try to increase my overall contribution and do a better share of the hands on work with building the actual hovercraft. ",
The Short Circuits is a great time,
All is good at this time.,
"Roedwilm Zach Princer lacks motivation and drive, he has consistently missed lectures and meetings, and when he does show up he sits on his phone with his headphones in and barely participates. He hasn&#39;t contributed to the team effort at all so far.",
My team is great ,
Everything is great thanks,
"we can&#39;t share that much time together, because everybody has different schedule. we are trying to work it out",
"Really glad my team is productive, cooperative, and supportive.",
"I was blessed with a team that works together. A team that works together, makes the dream work. So far, we all show great efforts toward making this project possible. ",
"The hard part about my team is that no one replies to the group messages, so I end up calling people individually to get in contact with them. I do not want to come across as bossy, but I need them to respond to the group messages during the day. If they are in another class, okay, but afterwards it would be nice to know that they acknowledge what I or someone says in the group. ",
"These guys are great, no complaints",
I am glad to be put on this team,
One of my teammates is not on the CATME list or when I completed this survey. This teammate also has not shown up to every team meeting but has completed his share of work when he is there.,
"Overall I can&#39;t really complain too much about the team I was put together with.  It&#39;s just difficult to get quality work done when some teammates don&#39;t show up to meetings, or when they don&#39;t contribute to the conversation very much.  It just makes it difficult on me when I try to push conversations about the hovercraft along and get the team to make progress towards a goal.  It can feel like trying to push a boulder up a hill at times.",
I am satisfied. ,
I have made friends with everyone in my group and believe that they are great individuals who I will keep in contact with for the rest of my college career.,
Great Team!!!,
"We have been meeting regularly and often, everyone present and cooperative so far.  If there is one thing we need to work on, it would be clear communication as a group.  We are improving that by communicating through GroupMe.",
"Thank you very much for putting me on this team. The team and I get along really well, and we are always on task. We are very organized and have everything planned out so that we can accomplish our tasks on time. Our team is determined to meet our goals and overcome any hardships along the way.",
Everyone on this team works very well together and all ideas that we come up with are explored well. However Thomas has been missing at some of our meetings when we needed him but other than this the team is very strong I think.,
"We sometimes have a issue figuring out a a meeting schedule, but we always find one and get our stuff done on time.",
"We have a good, everyone is involved in the team work. Nevertheless, we have some difficulties to meet because of my tennis tournaments or practices (M&eacute;lissa Huchet) and the job of others during the weekend. ",
"Sometimes it&#39;s hard for our team to meet up, but I feel like our team works really well together.",
Lovely group.,
"I think some of them need to maybe focus more on the assignments and start them earlier than a few days (like 1 or 2) in order for each of us to not feel rushed and feel confident with our ideas. Usually, when none of them start the assignments I would have to and end up doing 4/5 all of it. They then don&#39;t check over the answers of others or ask for help if they believe their answers are wrong. I wish they would put a little more effort into this than putting it all on me. I do still like my group though.",
I like tuomas,
I like this team and I think we work good together. ,
"Our team is fine, the only issue is lack of communication and want to work on the project. This is understandable and we are currently working around it. ",
N/A,
"Communication is terrible among the team members. I, personally feel left out as compare to other members. Our team waits till the last minute to do any assignment. No clear communications.",
"We can complete work in the time allotted, but it is not enjoyable or enriching. I hope with more progress we come together more as a team because right now there is little to no chemistry. ",
"I like my group, we have no problems and everyone helps each other ",
One of my teammates has not shown up to work on the project. Jan does not respond to the group texts. ,
"One of our members, Jan, has not responded to any texts from our group nor has he showed up to any team meetings and has not contributed to anything in the project so far. ",
"One of our team member is still absence ever since the first lecture and skills lab where the teams get to meet each other for the first time (9/20 &amp; 9/21). We attempted to contact him, but there were no responses from him ever since.",
The only issue I have currently with my team is the communication. We all have very different schedules and most of us are busy. It is hard to find a time to meet and none of us seem to communicate about it very well. ,
I am very happy with this team. ,
Great team,
"I think that our group gets along very well and does good work together. I have yet to have an incident where anyone is shut down or excluded from the group activities. So far our team has had equal share of all the work we do and we are together as much as our schedules will permit. We have done a lot of work and had a few setbacks, but continue to work on the hovercraft as expected. We have completed everything on time and have put in extra work when we run into problems in order to resolve them. In all, I think that we have an excellent team dynamic and very functional team members. ",
I enjoy my team and we seem to do even amounts of work. ,
This is one of the best groups I have been in. I like how everyone is respectful and blissfully aware of what needs to be done in order to maintain the project and complete the tasks at hand. My teammates are encouraging and willing to help in areas that other members may not have the desired strengths in.,
I have a good team.,
Looking forward to completing this course with my team and then moving on to working with other teams in the Engineering Dept.,
N/a,
"I enjoy my team members as people, however we have very conflicting schedules and have a very difficult time communicating. Myles has contributed very little to the project thus far and is rarely present for lectures and skills lab. We do work well together and I believe it will get better, but we need to make more of an effort to actually meet up and work on assignments in our free time. ",
"The team is alright, we need to work on meeting up and engaging together more.",
I have been put in a good team and I can&#39;t wait to see our growth from now till the end of the semester.,
Overall I am satisfied with my team and have no complaints.,
Its a little early to tell how our team works together but for the most part we get along well and are comfortably able to share our ideas. The most difficult part is committing to a choice.,
I hsve no comments,
Great so far!,
"I am very pleased with my team. At first I was concerned about having to work in a unit but my team mates have completely alleviated that fear with their upbeat attitudes, encouraging attitudes, and technical contributions to the team.",
I like the group I&rsquo;m in. We work well together ,
"We have a good team. There are no problems with our group at present.
",
My teammates have been working very well together. When someone isn&#39;t able to make it as much because of other events the others pick up the slack and make sure that everything gets done on time. ,
Marco goes above and beyond and is always willing to work on whatever needs to get done. Jared is helpful but his job makes him less available but he does specify when he can and cant come to meetings. Jokob is a good worker but is a little flaky.,
"It seems CATME did not do a great job creating groups with maximum available common times. It is often difficult to find a couple open hours for our group to meet. Overall, though, things have worked out. ",
"Adolfo is the only one of us that has work so sometimes he can&#39;t come to meetings, but he still does a lot of work and participates in the meetings he does come to. Both Marissa and Jesse do an equal amount of a lot of work and always come to the meetings. I do a lot of work as well, but sometimes if those two are on a roll there is no room for me to add in some work. We have only had one checkpoint however, so there might be some shifting in the work next time. Overall, we all get along very well and I am pleased with the group I am in. ",
They&#39;re all fine and have been doing their work diligently. I wish some would try to be slightly more outspoken since they seem slightly reserved. Other than that everyone is competent and working together. ,
"I like this team quite a bit. I definitely work better with some in the group as opposed to others. However, I understand that is the nature of a team dynamic, personality preferences play a large part. Personality preferences aside, I am actively working on finding better ways to communicate with Jason and articulate my need for him to stay on task and not make up unnecessary work for himself on group time. Things are good right now.",
I thoroughly enjoy my team and the strong work ethic that we have.,
"Jennifer and I work insanely well together and with one other person to do grunt work we could do it perfectly on our own. Jason has communication issues, likes to argue and hates being wrong. Peyton is quiet and does not do as much work but it may be just because we don&#39;t give him enough to do because he does not take on responsibility on his own. Scott is really busy outside of class and therefore doesn&#39;t have the same amount of time to spend on the project. But because of Jennifer I can make a functional hovercraft without going insane.",
"Everyone, including myself could do better in communication and (other priorities permitting) getting our share of the work done more quickly.",
No comments,
My team is great!,
"Could not have asked the computer to pick any better of a team for me. Very pleased that I got put on a team that works together and does not have any problems, along with a diverse range of skills.",
"Glenn seems to be having a little bit of trouble with working in a team, but other than that my team is pretty good.",
My group members are very decent.,
"My team is cool, respectable and easy to work with.",
I believe that each team member is contributing 100% effort and wants to succeed. ,
"I absolutely love my team! I definitely think I&rsquo;ve found some people I&rsquo;ll be friends with for a while, even after this semester is over.",
none,
Good and hardworking team. ,
Although it is hard for Fernando to make team meetings because he does live off campus he could put in more effort towards the team.,
Everyone works hard and does their share in the project ,
"Regarding the interaction my teammates have with one another, I find that Fernando is often quite and seems to conform to what everyone else suggests. ",
Fernando is a good helper but he lives off campus making it hard to meet sometimes not being able to put in the full credit.,
"We have issues with getting everything done ahead of time on a schedule. Even though we don&#39;t get things done ahead of time, we haven&#39;t had any issues completing everything needed by due dates. I need to step up more as a team leader to keep us all on track.",
I&#39;m very glad I get to work with such a good group of guys.,
"I think that its going to be going better because everyone is going to start showing up. I think that in the group the important members are Josh, Joel and I. Zahidul and Aaron don&#39;t seem as interactive and it feels like they are &quot;along for the ride&quot; but mostly Zahidul is like that.",
"There is a slight issue with 2 members of the current team. Zahid is easily distracted and seems like some one who is willing to put in as little effort as possible, and pass the course. Aaron has missed a few meetings and has not contributed much as of yet, but he understands where he is at with the team. Has spoken to us about attempting to put more effort in during the upcoming weeks.
Josh has stepped up as someone who will take care of note taking and put a major responsibility upon himself in taking care of the team journal. Dana has also stepped up as he volunteered to take care of finances, and material safe keeping. They are both willing to put in extra time for the project if need be.",
All my teammates are dope. Everybody does their required task and they&#39;re all good at it.,
No complaints here just might not have enough money to pay for anymore,
I feel our team has worked great together in completing assignments both inside and outside the classroom.,
"My team works well together, however, there are some issues that need to be address. First of all,the main issue is that Smit never shows up to lecture. He didn&rsquo;t show up for both lectures this week. This makes it hard to communicate and unfair to the other people on my team. Smit also doesn&rsquo;t communicate on the group chat as much as other teammates so the overall communication with Smit is little to none. The second and final issue would be to meet up more outside of class. While this is a difficult thing to achieve with everyone&rsquo;s busy lives, it would help the process of this semester long project go more smoothly.",
"Everything is going well thus far, however I wish Edgar would participate more as I think his ideas would be very helpful to the group. ",
"My only concern is how different are schedules are, other than that, we all have good chemistry. ",
"JB has gone above and beyond what he has had to do, basically taking our entire project onto his shoulders. He definitely deserves most of the credit at this point.Edgar and I are doing what needs to be done but honestly nothing more than is necessary. Juan does the same but he is a bit harder to work with due to the fact that he always needs to put his opinion into the mix even if it is very wrong. Things will probably work out just fine but this is what is going on at this time.",
NA,
As a team we are working well together and meeting deadlines. This team males the class an enjoyable process.,
N/A,
"I am adjusting to an environment where there is not a lot of differentiation in status of position; meaning that when the team leader sets out tasks it is merely a student asking another student to complete something. It doesn&#39;t seem to reflect a boss asking a worker to complete a task, an in effect time lines/communications/follow-through are individual dependent. I&#39;m having preliminary concerns about the line of communication of our group. I have to remember that these are students and priorities are different from a professional setting. But I have talked to a few people about the best way to inspire these actions, and will try and incorporate them into the group.",
My team is the best.,
"I try to help my team to the best of my ability, but to be honest, I always feel like they&#39;re doing all the complicated and difficult tasks. Yes, all four of us agreed that I&#39;d put myself in charge of keeping our kit together and making sure the things they order online for our hovercraft get here, but that&#39;s all. Aside from that and the lifting fan calculator I set up, I feel like I&#39;m honestly just not contributing enough, especially at team meetings.",
"All in all, my team is great. I&#39;m actually the weakest link given my work schedule and relative unavailability, but we&#39;ve worked it all out.",
All three of my partners live off campus and two have jobs so having a meeting that isn&#39;t planned at least a week in advance will be difficult.,
With all the stories I have heard about Engineering 100 and how your team makes or breaks you experience I am very happy with my team thus far ,
"With this team, even though I keep reminding my teammates to do their part, I feel that they won&#39;t do their part unless I get involved, or they will do it hours before it is due. From what I have seen so far, I can&#39;t really trust to leave them to do certain parts because I feel like they just don&#39;t prioritize this project.",
I enjoy the people in my team but I sometimes worry that we won&#39;t get things done before the deadline.,
Caleb has not contributed anything so far due to schedule conflicts but he&#39;s promised to make up for it.,
I was out of town without a lot of access to WiFi for an entire week and they were very flexible about it and understanding.,
I love the way my teem works with each other and communicates with each other!,
"I don&#39;t really know how to feel about my team anymore. It&#39;s hard to really get stuff done because we&#39;re all confused and no one but me does anything about it. I feel like I am the brains of this team and everyone is holding me back, but I&#39;m not quite ready to say that I want to switch groups.",
Team 97is da best,
"I don&#39;t think I could have gotten a better team. I&#39;m just afraid that I won&#39;t keep up. Other than that, my teammates are incredible guys and smart intellectuals.",
Is it my job as a team leader to take all of their information and put it all into the document?,
"I believe my team and I match up very well, we all have similar styles of learning and working, everything works out perfectly, I couldn&#39;t be happier. ",
"My team is great! We all get along very well and always bounce ideas off each other, resulting in success when overcoming obstacles. I am extremely pleased with my group!",
"I&#39;m really happy with my team. I feel like we all contribute equally and we all get along well, while still making good progress on our work.",
No comments at this time,
My teammates seemed to have been born knowing how to do almost everything asked of this class where as I feel I must sit down and learn it thorough and because of this I feel left out and not capable. I was also left out for our first meeting due to my teammates not contributing me in the work. they are friends and live in the same dorm so it made it easy for them to push everything off and do al the work last minute when it seemed easy. They had emailed me at 9:06pm letting me know they want to meet at 9:00pm on that day. We have figured out communication since then. I do NOT live on campus.,
Things are going pretty well in my opinion. We just need to get a little bit better at communicating when we will all get together and work on tasks. ,
"Me, Skyler, and Elliot do most of the work. Jason is always late to the skills lab and doesn&#39;t contribute as much. We&#39;ve given him tasks to do so hopefully we&#39;re able to get him more involved ",
Good team! Don&#39;t like the course material however or the TA work has a lot to be desired.,
Good team. 10/10 would build hovercraft again.,
The workload is often a little unbalanced and quality expectations are different for some than others but overall the group functions fine.,
"No additional comments, group works very well together.",
"I swear these answers are my actual opinion, I was not coerced in any way, shape, or form",
This team meshes well together and we are productive when we come together to work.,
The team is good and moral is high. ,
No additional comments needed. Team works well and is respectful.,
everything is working great.,
"All my team members contribute an equal amount and we all get along really well. Emily is a very outgoing spirit who always keeps the energy high and contributes a great deal of work to the team. Taylor also holds a strong presence on our team, taking care of a lot of budget management and completing journals. Josh is skilled all round and contributes a fair amount to every aspect of the project.",
"I like my team. They&#39;ve all been very flexible with meeting up. We were able to get together six times before checkpoint 1, which I thought was awesome.",
"I feel like I stress a lot, especially when it comes to team projects. I really hope that it does not affect my team negatively. I also feel like I am the only one who is really keeping up on deadlines and scheduling meetings which I don&#39;t like because I feel like it puts a lot of pressure on me. I am going to try to talk to them about it though. ",
"I would like to start by saying that my team is functions great with the exception of one member. This is Joshua Webb. Joshua Webb seems completely disinterested in the project, as on multiple occasions we have caught him trying to watch baseball instead of contributing to meetings even after we told him that he needed to contribute. Joshua Webb very rarely tries to contribute to the meetings in general unless prompted to, even then, his insights are rarely helpful. When it comes to him helping out on the assignments, there is very little he can do to assist because of the fact that he doesn&#39;t understand the coursework. For instance, the only thing we could assign for him to do on the Design Concept Report is to draw the hovercraft with help from other group members. This causes the project to be harder than just having 3 group members because we have to find a way to involve Joshua in all parts of the project. This slows us down and makes the project than it needs to be.",
"Mason, Everett, and I work together very well. We all give our 110% effort especially when we are together. However, Joshua does not participate without major coaxing, Everett is usually the one who does this. During our team meetings so far, Joshua has either contributed nothing, taken time away from the group as we try to make him participate which ends with a comment along the lines of &quot;yeah, I like that idea.&quot; comments such as those are what he contributes after the three of us already decide something such as propulsion technique. Professor Vollstedt even had to ask him to close his laptop in the middle of our meeting with her during checkpoint 1. These are just an idea of what Joshua does that demonstrates to us that he will no help our group. ",
"Still feels early to give a true assessment, will learn more as year progresses. Currently, team is working together fine.",
We work well together.,
Our team works well together,
These boys do their best and that&#39;s all that can be asked of them. I have fun working with them and am excited to continue working with them! ,
This team works well together and has members that all show traits of good teammates.,
I&#39;m lucky to have a chill team that does work evenly :),
"Nothing to really comment on this first checkpoint, for the most part my team has been working pretty well and we&#39;re working pretty well together. I did do most of the work this checkpoint, but this was honestly my own doing as there was not really an opportunity for everyone to put in a large amount of work. Ben was also a lot of help, helping me look up the batteries and do the battery calculation. Everyone put their two cents into the design process for checkpoint 1.",
.,
"I&#39;m satisfied with my team, I&#39;ve had a lot of group work in college so far and they are definitely on the better end of the spectrum in my experiences. While we do encounter many problems with the project itself, none of the issues stem from a personality conflict or general lack of interest in the project. We are all definitely on the same page as of right now and are on track to complete the project early. Thank you for giving us a platform to give feedback. ",
The team is great.,
"The team is great, everyone gets along well and gets their assignments completed on time",
"I&#39;m feeling good about my team and our work ethic. Expect great things!
",
"You&#39;re doing a great job, you know that?",
esketit,
"I don&#39;t think any of them want to kill me, so that&#39;s a plus",
"I believe that every member of my team makes key contributions. We work on everything together to make sure no one is stuck with a huge workload, although some times people finish the last bits of an assignment on their own after our team meetings. I believe everyone gives equal effort and we all do quality work. I am satisfied with my team and I believe we&#39;re going to make an excellent hovercraft.",
"I feel like my team is very diverse, and we get along with one another really well. ",
"It&#39;s been great working with these guys. The only problem is that we as a team are not great at planning meetings, as it seems that things come up out of the blue. Despite this, we&#39;re able to get things done without it seeming like one person is doing more work than another.",
Everything is going great!,
"I feel like it is too early to say if we will have any problems in the team. If there are any now I am unaware of them, however I think the team and I are more than capable of fixing any problem we run into. Overall, the past few weeks have gone by smoothly and I think we work well together.",
"Slightly worried about how low priority it is for people until they HAVE to work on it. Alex and Joshua have had some scheduling conflicts; Alex in particular has missed 2 meetings. These conflicts were clearly communicated and there has been time arranged for them to meet and work on the project, but if they don&#39;t get enough done during the make up time, and if this is happening for a lot of meetings, there could be an issue.",
"I feel like that while scheduling compatibility is important, the level of background knowledge should be a factor as well or at least how to deal with it. One of the members of the team has extensive background experience and focuses too much on his ideas being more correct since he knows the most. He doesn&#39;t really explain clearly how his previous knowledge of the subject works in a helpful way and I think this takes away from the learning aspect of the project.",
"Matthew and Eryl butted heads in the beginning, but they are starting to work together better now.",
"There&#39;s a lot of type A people in my group. As in 2, so there&#39;s tension sometimes. That&#39;s normal though.",
"It seems like my team will work great together, we will just have to see how we work when we are in a higher stress environment.",
"I think our team is working okay together. My main concern is, even though teams were meant to be paired by availability, our schedules do not seem to be very compatible. Hopefully we can figure out better times.",
"Everyone on team is willing to do work, open to suggestions and new ideas.",
"The team functions well.  My only complaint is that Michael Pence shows little trust/belief in ideas produced by team members and the assignment instructions.  It does not, however, get in the way of progress.",
"For the most part, I am okay with the team. It could be a lot worse, but there are still some personality traits that rub me the wrong way, but I don&#39;t see this being a problem unless it gets worse.
Tyler and Connor will often answer my &quot;basic&quot; questions with sarcastic answers. I realize that to them, it&#39;s obvious, and so deserves a sarcastic answer, but several times now, I&#39;ve asked a genuine question, and have had to either drop the question entirely, or ask a ta.
Tyler also sometimes makes snide comments about other teams or their members, specifically against Matt. This makes me mad because I&#39;m at least 85% sure he has some form of autism, and it feels like he&#39;s making fun of him for being different. It makes me not want to work with someone who can be rude like that.
In terms of work flow, we&#39;re fine, and I have no doubt we will complete the project easily. However, these interactions make the overall experience less enjoyable. Again, these won&#39;t entirely affect how much work we can do, but I definitely am not excited to work in the group. I don&#39;t dread going, but I&#39;m not excited for our meetings.",
I am pleased with my team and we work well together and get things done in a timely manner,
Our team is pretty great! Good contributions all around. Occasionally I accidentally interrupt others but I&#39;m working on improving that part of myself (I just get excited about the project),
"The team is well, everyone is doing their part.",
"The team is good, working out times to meet was definitely difficult because of our schedules at first, but now it&#39;s working out very well.",
"As a team, we could do better with time allocation and distribution of work. As a whole we a have a good understanding of each others skills and can be released to its full potential with time. I&#39;m not overjoyed with my teammembers or myself but I believe that we will get the job done.",
"I really enjoy the team that I was set up with, and couldn&#39;t really say anything poorly about them. Honestly, the only person that feels like they don&#39;t have consistent quality working in this team is myself. I&#39;ve been late to a meeting or two, and had to leave a couple sooner than I feel I should have. I have been trying to make up for that by working harder on the assignments I have been given. Regardless, I wouldn&#39;t be surprised if my teammates rate me lower because of my group work ethic. Norman works great as a team leader, listening to ideas and problems that others bring up. The other two, Joe and Clint, while quiet during our meetings, help complete the work as well as grab materials from their different possible places. We ended off our last meetup by saying that we were really proud of the team that we got, and confident in our ability to finish our project. Cheers!",
"Aside from the few hiccups in the beginning, things look fine. Issues that were had have mostly been ironed out.
Have a swell afternoon!",
Other than the small issue wit CATME putting Nilan into our group even though he was in another lab. Our team is great,
"I love my team they are the best around, and nothing&#39;s ever gonna get us down!",
"good guys and all very helpful
",
"Ben is trying his best, and I get that. He just hasn&#39;t been contributing to the group as much as the rest of us have. I still want him on the team because he is experienced in programming and in electrical techniques and he will be a very useful teammate once he shows up to meetings on time",
I have a good team.,
My team is awesome!,
"I have nothing bad to say about my team!!!
yet...",
:),
My team and I work very well together as a group on every team assignment. I am very pleased with my group so far. ,
"Although Ben is an active team mate he makes it impossible to work with him. When other team members have ideas, his ideas are the ones he likes and goes for the most. It is like trying to work with a brick wall. Not to say he doesn&#39;t do anything, he does a lot. But he is forced to do a lot or nothing by the way he acts.
Nate is a stand up guy. I like his attitude and wished I had two more of him on my team. Always ready and on time with ideas.
Bryson, I don&#39;t know much about him. A quite person who is smart. I wanted to use a really dumb design for propulsion and he came up with a simple and easy method. I am honored to have such a person on my team.
Amir, although I am biased against myself i will try to tell it as it is. I have very neat and nice hand writing and tend to make an extra sheet of notes &amp; work sheets. So my work is usually used. I have tried to help out in the group as much as possible but ben is not making it easy for me. His personality is like that of a baby crow, one that only a mother can love. I feel like I have put a lot of effort into the group only for him to stifle it. I have a great dislike for field manuals and things resembling them. Ben is a walking field manual. I think ben is a nice guy, and i look forward for the challenges ahead. For the best way for me to learn to work with people like ben is in school. I am a believer in learning by doing, and I have helped out my team by leading them into uncharted territories by researching what we are doing before hand and trying to tap dance my way with them. Ben being the walking field manual though insist we do it the &quot;correct way&quot;. Although i see the merit behind this, I don&#39;t like to be coddled by TA&#39;s if i can help it.
From,
Amir Fahraji",
"I believe that our team has good chemistry, gets along well and will do just fine for the duration of this particular project.",
So far our team has been able to work very well together. ,
"Good group, excited to see our final product!",
"I really love this team, the know how to work together with me and always show interest into our assignment and reaching our due dates. ",
Jackson Pickard dropped the class. So disregard everything about him please.,
Still breaking the ice between us since we are all fairly quiet and come from very different backgrounds and experiences.,
"This team is good at meeting deadlines and doing the steps correctly, I just feel like we wait until the last minute to get things done, even though I prefer to get work done in a timely manner, and not procrastinate quite as much. However, everyone on the team does contribute pretty equally when we are in the meetings. ",
"Yinkai and the team have a language barrier considering he is learning still learning english.First week of teams he never showed or got in touch, but finally showed and introduced himself after we completed checkpoint 1. Helps with what he can but has only showed up to one lab since teams were create, and that was reviewing our checkpoint 1. Absent for soldering. He&#39;s a good kid, just hard to work with.
Jared is very unproductive. He complains on a regular basis, and loudly to where i had to apologize to the people sitting in front of us in Lab today. Talks very negatively about everything, and does not participate. He asks every lab if he can just do nothing. During soldering lab he played minecraft on his laptop the whole class period. He has fixed one equation on our checkpoint 1, and that is all he has done so far.
Cyrus is one of the only people actually helping get this project done. He gets along well with everyone and stays focused on his work, and continues to explain and confusing parts to the team. I feel it is only Cyrus and I who have been working on this project and I highly appreciate him for his patience and understanding.
I would love to continue to keep working with Cyrus as we are good friends now, but the other two teammates I am not sure what to do with.
- Juliette Bullock, section 1209, team 145",
"In the group, it feels like Juliette and I are the only ones ever working, and we have to reel in Jared most of the time to participate and come to team meetings. Juliette is the perfect example of a teammate, who wants everyone working and does everything within her power to ensure we meet deadlines and get everything done. When Jared is helping, he provides quality work that we can use, but the problem we are having as a group is that he often strays off and does other things and would rather not help us out.
Yinkai has been absent and completely for most class periods and team meetings, making it hard for us to split the work as well as the payments between 3 people instead of the additional 4. He has only attended one of our team meetings, and he slipped away elsewhere for the majority of it. As a team, we arent sure what to do with Yinkai. ",
Team is doing good. No problems at all.,
Was worried about not having a motivated team but this group has been fantastic so far. ,
"Honestly, I have worked on a lot of team based exercises in my time and this team is well formatted and works together nicely. The group does not bicker and is able to form comprehensive solutions to problems. I have be given the role of team leader and I feel as though the team is able to listen and respond well when it is necessary for me to assign tasks. Overall the group is well balanced and formatted ",
The biggest struggle of our group is people not putting their ideas on the table to be evaluated. Both zac and matthew are very reserved in their opinions and contributions. They must be asked to do something (such as look for parts)  instead of taking initiative to do it knowing that it needs to be done when they have the information. ,
"No comment
",
"This team is good. I like this team a lot. We can work together when the time arises. Jonah and Gary work well alone, but this past checkpoint we really had complications. We did get through it, but if we don&#39;t start working together, it&#39;s going to get worse.",
"our group is spread between really laid back individual (Jonah), another is too straightforward, which isn&#39;t bad (Gary), one who doesn&#39;t really know what to do and is willing to do anything that he can work with (Giovanni). I feel like I end up in between both Jonah, and Gary, sometimes it is hard when one tries to tell everyone that there is time and we don&#39;t need to get things done right now, (Jonah), and Gary gets overstressed and needs to get things done when things mess up and doesn&#39;t listen to anyone when that happens, it&#39;s hard to work when that happens.",
"The team works together fine, everyone tries to contribute, work is inefficient though and coordinating schedules is difficult.",
"We have some trouble starting when we need to figure something out, but we always end up working together and figuring it out.",
"For the most part, I am satisfied with the team I have.",
"I am really happy that I was assigned to this group. Everyone treats each other with respect, we have fun, and we complete all of our assignments. I can&#39;t wait to see what else this semester will bring to my team and I!",
Everyone is doing great so far!,
"The Team is okay. Deadlines get met almost at last minute which kind of worries me, but work gets done and turned in on time. Buying things for the Hovercraft has been sloppy and unorganized.",
"I&#39;ve done most of the work so far. I&#39;m not really sure how to split it up in the first place. Nicholas offers to help, but I can&#39;t help him while doing things on my own. Seth and Omar don&#39;t really volunteer to help. They are nice guys but haven&#39;t been super helpful.
Tips on how to split up work is appreciated maybe? Or just how to trust the other members of the team to do their work - I have trust issues when it comes to school work.",
"Joshua Garcia is no longer in the course, so our team his dwindled down to 3.",
My team all do their fair share of work and participate equally,
I believe our team is working well together. ,
"I feel that my teammates are all mature, and this makes completing the project easier for all of us. I can trust them to do the work, and they can also trust me. ",
